root_id,region,flow,super_class,cell_class,cell_type,side
804541,T2,intrinsic,interneuron,BI|premotor_candidate,IN07B031,R
804545,T2,intrinsic,interneuron,BI|premotor_candidate,IN17A027,R
804550,T2,intrinsic,interneuron,IR|premotor_candidate,IN03A024,L
804551,T1,intrinsic,interneuron,BI|premotor_candidate,IN01A025,R
804556,T2,intrinsic,interneuron,BI|premotor_candidate,IN19B043,L
804557,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A042,L
804559,T2,intrinsic,interneuron,BI|premotor_candidate,dMS2,L
804563,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A039,L
804564,T3,intrinsic,interneuron,CR|premotor_candidate,IN13B031,L
804566,T3,intrinsic,interneuron,CR|premotor_candidate,IN13B033,L
804570,T3,intrinsic,interneuron,BI|premotor_candidate,IN07B039,L
804572,T1,intrinsic,interneuron,BI|premotor_candidate,IN11A007,L
804573,T2,intrinsic,interneuron,CR|premotor_candidate,IN13B023,L
804578,T1,intrinsic,interneuron,CR|premotor_candidate,IN13B017,L
804581,T3,intrinsic,interneuron,IR|premotor_candidate,IN16B039,R
804582,T2,intrinsic,interneuron,premotor_candidate,IN04B017,R
804584,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A077,L
804589,T3,intrinsic,interneuron,BI|premotor_candidate,IN11A047,L
804591,T2,intrinsic,interneuron,II|premotor_candidate,IN02A021,L
804592,T3,intrinsic,interneuron,IR|premotor_candidate,IN03A031,R
804602,T3,intrinsic,interneuron,premotor_candidate,,L
